timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743687549367,646,NavigateWebsite-25,200,,Scenario 2 - View Results - jp@gc - Ultimate Thread Group 2-13,text,true,,5664,545,18,59,https://petstore.octoperf.com/actions/Catalog.action,646,0,487
1743687549362,650,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-46,,true,,4990,598,37,59,null,0,1,491
1743687549363,650,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-46,text,true,,4990,598,37,59,https://petstore.octoperf.com/actions/Catalog.action,650,0,491
1743687549364,649,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4986,598,37,59,null,0,0,490
1743687549364,649,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4986,598,37,59,https://petstore.octoperf.com/actions/Catalog.action,649,0,490
1743687549864,183,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,3442,988,38,60,null,0,1,0
1743687549864,183,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,3442,988,38,60,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,183,0,0
1743687549339,710,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-44,,true,,4986,598,38,60,null,0,0,531
1743687549339,710,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-44,text,true,,4986,598,38,60,https://petstore.octoperf.com/actions/Catalog.action,710,0,531
1743687549877,190,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-37,,true,,4081,987,38,60,null,0,1,0
1743687549878,190,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-37,text,true,,4081,987,38,60,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,190,0,0
1743687549418,671,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-42,,true,,4990,598,38,60,null,0,0,511
1743687549418,671,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-42,text,true,,4990,598,38,60,https://petstore.octoperf.com/actions/Catalog.action,671,0,511
1743687549405,684,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-29,,true,,4986,598,38,60,null,0,1,523
1743687549406,684,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-29,text,true,,4986,598,38,60,https://petstore.octoperf.com/actions/Catalog.action,684,0,523
1743687549929,169,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-31,,true,,3441,987,38,60,null,0,1,0
1743687549930,169,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-31,text,true,,3441,987,38,60,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,169,0,0
1743687549339,772,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-38,,true,,4986,598,38,60,null,0,0,590
1743687549339,772,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-38,text,true,,4986,598,38,60,https://petstore.octoperf.com/actions/Catalog.action,772,0,590
1743687549401,710,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-55,,true,,4986,598,38,60,null,0,0,547
1743687549401,710,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-55,text,true,,4986,598,38,60,https://petstore.octoperf.com/actions/Catalog.action,710,0,547
1743687541779,376,EnterCredentials,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario3 - Add to Cart - jp@gc - Ultimate Thread Group 3-7,,true,,9148,1695,5,61,null,0,8014,0
1743687549793,219,EnterCredentials-72,200,,Scenario3 - Add to Cart - jp@gc - Ultimate Thread Group 3-7,text,true,,4175,1019,4,59,https://petstore.octoperf.com/actions/Account.action,219,0,0
1743687550012,157,EnterCredentials-74,200,,Scenario3 - Add to Cart - jp@gc - Ultimate Thread Group 3-7,text,true,,4973,676,5,61,https://petstore.octoperf.com/actions/Catalog.action,157,0,0
1743687550013,158,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-46,,true,,3442,988,38,61,null,0,0,0
1743687550013,158,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-46,text,true,,3442,988,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,158,0,0
1743687550013,158,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-56,,true,,3445,991,38,61,null,0,0,0
1743687550013,158,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-56,text,true,,3445,991,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,158,0,0
1743687549476,699,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-43,,true,,4986,598,38,61,null,0,0,536
1743687549476,699,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-43,text,true,,4986,598,38,61,https://petstore.octoperf.com/actions/Catalog.action,695,0,536
1743687550013,161,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4081,987,38,61,null,0,1,0
1743687550014,161,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4081,987,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,161,0,0
1743687549476,708,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-49,,true,,4987,598,38,61,null,0,0,536
1743687549476,708,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-49,text,true,,4987,598,38,61,https://petstore.octoperf.com/actions/Catalog.action,699,0,536
1743687549419,768,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-35,,true,,4986,598,38,61,null,0,0,593
1743687549419,768,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-35,text,true,,4986,598,38,61,https://petstore.octoperf.com/actions/Catalog.action,767,0,593
1743687550012,194,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-33,,true,,3441,987,38,61,null,0,0,0
1743687550012,194,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-33,text,true,,3441,987,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,194,0,0
1743687550049,177,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-44,,true,,3441,987,38,61,null,0,0,0
1743687550049,177,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-44,text,true,,3441,987,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,177,0,0
1743687549528,697,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-25,,true,,5664,545,38,61,null,0,1,521
1743687549528,697,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-25,text,true,,5664,545,38,61,https://petstore.octoperf.com/actions/Catalog.action,682,0,521
1743687549516,731,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,4986,598,38,61,null,0,0,552
1743687549516,731,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,4986,598,38,61,https://petstore.octoperf.com/actions/Catalog.action,731,0,552
1743687550089,163,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-42,,true,,3441,987,38,61,null,0,0,0
1743687550090,162,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-29,,true,,3445,991,38,61,null,0,0,0
1743687550089,163,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-42,text,true,,3441,987,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,163,0,0
1743687550090,162,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-29,text,true,,3445,991,38,61,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,162,0,0
